date,value,
2020-06-01,20149425,
2020-07-01,18777024,
2020-08-01,19198731,
2020-09-01,18205509,
2020-10-01,18410001,
2020-11-01,20062638,
2020-12-01,21534114,
2021-01-01,22296291,
2021-02-01,22230396,
2021-03-01,22227834,
2021-04-01,21700395,
2021-05-01,19796667,
2021-06-01,16480413,
2021-07-01,15182022,
2021-08-01,15362460,
2021-09-01,15370527,
2021-10-01,15373074,
2021-11-01,16444851,
2021-12-01,16398426,
2022-01-01,18071289,
2022-02-01,19039152,
2022-03-01,17444691,
2022-04-01,17069496,
2022-05-01,16948851,
2022-06-01,17166675,
2022-07-01,17833593,
2022-08-01,19243344,
2022-09-01,18563280,
2022-10-01,18250485,
2022-11-01,18630180,
2022-12-01,18879750,
2023-01-01,21784509,
2023-02-01,24153177,
2023-03-01,25304235,
2023-04-01,27542568,
2023-05-01,33525522,
2023-06-01,32579004,
2023-07-01,26450727,
2023-08-01,27664587,
2023-09-01,29284140,
2023-10-01,23763750,
2023-11-01,21435342,
2023-12-01,23102844,
2024-01-01,22825776,
2024-02-01,23598924,
2024-03-01,26568891,
2024-04-01,27922470,
2024-05-01,28746219,
2024-06-01,28572453,
