date,value
2020-06-01,77200
2020-07-01,76500
2020-08-01,73200
2020-09-01,52000
2020-10-01,50200
2020-11-01,57100
2020-12-01,57000
2021-01-01,73300
2021-02-01,104000
2021-03-01,118000
2021-04-01,119000
2021-05-01,135000
2021-06-01,112000
2021-07-01,109000
2021-08-01,104000
2021-09-01,128000
2021-10-01,86200
2021-11-01,81600
2021-12-01,132000
2022-01-01,114000
2022-02-01,133000
2022-03-01,149000
2022-04-01,157000
2022-05-01,134000
2022-06-01,141000
2022-07-01,161000
2022-08-01,149000
2022-09-01,176000
2022-10-01,93600
2022-11-01,94200
2022-12-01,84900
2023-01-01,108000
2023-02-01,134000
2023-03-01,131000
2023-04-01,140000
2023-05-01,141000
2023-06-01,130000
2023-07-01,122000
2023-08-01,137000
2023-09-01,85900
2023-10-01,70300
2023-11-01,89200
2023-12-01,65100
2024-01-01,79700
2024-02-01,129000
